weekday,hour,dteday,sum_cnt,mean_cnt,min_cnt,max_cnt,std_cnt
Sunday,0,2011-01-02,17,17.0,17,17,
Sunday,0,2011-01-09,25,25.0,25,25,
Sunday,0,2011-01-16,39,39.0,39,39,
Sunday,0,2011-01-23,22,22.0,22,22,
Sunday,0,2011-01-30,33,33.0,33,33,
Sunday,0,2011-02-06,39,39.0,39,39,
Sunday,0,2011-02-13,39,39.0,39,39,
Sunday,0,2011-02-20,17,17.0,17,17,
Sunday,0,2011-02-27,34,34.0,34,34,
Sunday,0,2011-03-06,52,52.0,52,52,
Sunday,0,2011-03-13,38,38.0,38,38,
Sunday,0,2011-03-20,40,40.0,40,40,
Sunday,0,2011-03-27,31,31.0,31,31,
Sunday,0,2011-04-03,39,39.0,39,39,
Sunday,0,2011-04-10,53,53.0,53,53,
Sunday,0,2011-04-17,33,33.0,33,33,
Sunday,0,2011-04-24,96,96.0,96,96,
Sunday,0,2011-05-01,96,96.0,96,96,
Sunday,0,2011-05-08,100,100.0,100,100,
Sunday,0,2011-05-15,39,39.0,39,39,
Sunday,0,2011-05-22,131,131.0,131,131,
Sunday,0,2011-05-29,83,83.0,83,83,
Sunday,0,2011-06-05,113,113.0,113,113,
Sunday,0,2011-06-12,119,119.0,119,119,
Sunday,0,2011-06-19,89,89.0,89,89,
Sunday,0,2011-06-26,115,115.0,115,115,
Sunday,0,2011-07-03,144,144.0,144,144,
Sunday,0,2011-07-10,154,154.0,154,154,
Sunday,0,2011-07-17,125,125.0,125,125,
Sunday,0,2011-07-24,119,119.0,119,119,
Sunday,0,2011-07-31,113,113.0,113,113,
Sunday,0,2011-08-07,80,80.0,80,80,
Sunday,0,2011-08-14,90,90.0,90,90,
Sunday,0,2011-08-21,74,74.0,74,74,
Sunday,0,2011-09-04,109,109.0,109,109,
Sunday,0,2011-09-11,108,108.0,108,108,
Sunday,0,2011-09-18,112,112.0,112,112,
Sunday,0,2011-09-25,173,173.0,173,173,
Sunday,0,2011-10-02,47,47.0,47,47,
Sunday,0,2011-10-09,129,129.0,129,129,
Sunday,0,2011-10-16,107,107.0,107,107,
Sunday,0,2011-10-23,88,88.0,88,88,
Sunday,0,2011-10-30,54,54.0,54,54,
Sunday,0,2011-11-06,75,75.0,75,75,
Sunday,0,2011-11-13,73,73.0,73,73,
Sunday,0,2011-11-20,93,93.0,93,93,
Sunday,0,2011-11-27,46,46.0,46,46,
Sunday,0,2011-12-04,83,83.0,83,83,
Sunday,0,2011-12-11,74,74.0,74,74,
Sunday,0,2011-12-18,71,71.0,71,71,
Sunday,0,2011-12-25,6,6.0,6,6,
Sunday,0,2012-01-01,48,48.0,48,48,
Sunday,0,2012-01-08,91,91.0,91,91,
Sunday,0,2012-01-15,59,59.0,59,59,
Sunday,0,2012-01-22,52,52.0,52,52,
Sunday,0,2012-01-29,96,96.0,96,96,
