day_type,hour,dteday,sum_cnt,mean_cnt,min_cnt,max_cnt
Weekday,0,2011-01-03,5,5.0,5,5
Weekday,0,2011-01-04,5,5.0,5,5
Weekday,0,2011-01-05,6,6.0,6,6
Weekday,0,2011-01-06,11,11.0,11,11
Weekday,0,2011-01-07,17,17.0,17,17
Weekday,0,2011-01-10,5,5.0,5,5
Weekday,0,2011-01-11,12,12.0,12,12
Weekday,0,2011-01-12,7,7.0,7,7
Weekday,0,2011-01-13,7,7.0,7,7
Weekday,0,2011-01-14,14,14.0,14,14
Weekday,0,2011-01-17,17,17.0,17,17
Weekday,0,2011-01-19,3,3.0,3,3
Weekday,0,2011-01-20,13,13.0,13,13
Weekday,0,2011-01-21,21,21.0,21,21
Weekday,0,2011-01-24,7,7.0,7,7
Weekday,0,2011-01-25,9,9.0,9,9
Weekday,0,2011-01-26,17,17.0,17,17
Weekday,0,2011-01-28,9,9.0,9,9
Weekday,0,2011-01-31,7,7.0,7,7
Weekday,0,2011-02-01,8,8.0,8,8
Weekday,0,2011-02-02,2,2.0,2,2
Weekday,0,2011-02-03,12,12.0,12,12
Weekday,0,2011-02-04,13,13.0,13,13
Weekday,0,2011-02-07,15,15.0,15,15
Weekday,0,2011-02-08,10,10.0,10,10
Weekday,0,2011-02-09,17,17.0,17,17
Weekday,0,2011-02-10,16,16.0,16,16
Weekday,0,2011-02-11,14,14.0,14,14
Weekday,0,2011-02-14,11,11.0,11,11
Weekday,0,2011-02-15,19,19.0,19,19
Weekday,0,2011-02-16,15,15.0,15,15
Weekday,0,2011-02-17,17,17.0,17,17
Weekday,0,2011-02-18,32,32.0,32,32
Weekday,0,2011-02-21,37,37.0,37,37
Weekday,0,2011-02-23,6,6.0,6,6
Weekday,0,2011-02-24,11,11.0,11,11
Weekday,0,2011-02-25,9,9.0,9,9
Weekday,0,2011-02-28,30,30.0,30,30
Weekday,0,2011-03-01,7,7.0,7,7
Weekday,0,2011-03-02,8,8.0,8,8
Weekday,0,2011-03-03,13,13.0,13,13
Weekday,0,2011-03-04,12,12.0,12,12
Weekday,0,2011-03-07,4,4.0,4,4
Weekday,0,2011-03-08,10,10.0,10,10
Weekday,0,2011-03-09,9,9.0,9,9
Weekday,0,2011-03-10,3,3.0,3,3
Weekday,0,2011-03-11,6,6.0,6,6
Weekday,0,2011-03-14,11,11.0,11,11
Weekday,0,2011-03-15,14,14.0,14,14
Weekday,0,2011-03-16,8,8.0,8,8
Weekday,0,2011-03-17,23,23.0,23,23
Weekday,0,2011-03-18,29,29.0,29,29
Weekday,0,2011-03-21,13,13.0,13,13
Weekday,0,2011-03-22,11,11.0,11,11
Weekday,0,2011-03-23,11,11.0,11,11
Weekday,0,2011-03-24,11,11.0,11,11
Weekday,0,2011-03-25,18,18.0,18,18
Weekday,0,2011-03-28,12,12.0,12,12
Weekday,0,2011-03-29,16,16.0,16,16
